Timestamp,Source,Message Type,Data
2022-01-11 16:36:34.536026,Bagging Interface,INFO,FERRIS WHEEL CONTROL RESPONDED!
2022-01-11 16:36:36.763777,user,INFO,PUT BREAD IN
2022-01-11 16:36:36.765877,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-11 16:36:36.767153,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-11 16:36:36.769238,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-11 16:36:37.861830,Ferris Wheel Interface,INFO,NEW ERROR IN!!!!!!!!!!!!!!!
2022-01-11 16:36:37.871614,Ferris Wheel Interface,INFO,New pid err 20.0 error camera is 20.0 d_angle is 0
2022-01-11 16:36:38.900563,Controller,INFO,USER UP
2022-01-11 16:36:38.902191,Controller,INFO,BAGGING UP
2022-01-11 16:36:38.903784,Controller,INFO,SLICER UP
2022-01-11 16:36:38.904775,USER INTERFACE,INFO,STARTING
2022-01-11 16:36:38.905656,Controller,INFO,LOAF Q UP
2022-01-11 16:36:39.621506,user,INFO,PUT BREAD IN
2022-01-11 16:36:39.623376,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-11 16:36:39.625108,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-11 16:36:39.627169,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-11 16:36:41.381464,Ferris Wheel Interface,WARNING,PREEMPT REQUESTED
2022-01-11 16:36:41.488414,Ferris Wheel Interface,INFO,NEW ERROR IN!!!!!!!!!!!!!!!
2022-01-11 16:36:42.478149,user,INFO,PUT BREAD IN
2022-01-11 16:36:42.480012,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-11 16:36:42.481131,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-11 16:36:42.484987,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-11 16:36:46.028581,Ferris Wheel Interface,WARNING,PREEMPT REQUESTED
2022-01-11 16:36:46.134098,Ferris Wheel Interface,INFO,NEW ERROR IN!!!!!!!!!!!!!!!
2022-01-11 16:36:46.135791,Ferris Wheel Interface,WARNING,PREEMPT REQUESTED
2022-01-11 16:36:46.139879,Bagging Interface,INFO,DIDNT BACK  Black
2022-01-11 16:36:46.141265,Bagging Interface,INFO,DIDNT BACK  White
2022-01-11 16:36:46.142448,Bagging Interface,INFO,DIDNT BACK  Brown
2022-01-11 16:36:46.578984,Ferris Wheel Interface,INFO,d_angle too small -6.2517693806436885
2022-01-11 16:36:46.583822,Ferris Wheel Interface,INFO,New pid err 13.685398766284516 error camera is 13.716814692820414 d_angle is 0.031415926535897754
2022-01-11 16:36:54.970057,Ferris Wheel Interface,INFO,d_angle too small -6.2517693806436885
2022-01-11 16:36:54.980776,Ferris Wheel Interface,INFO,New pid err 7.40221345910493 error camera is 7.4336293856408275 d_angle is 0.031415926535897754
2022-01-11 16:36:56.763282,user,INFO,PUT BREAD IN
2022-01-11 16:36:56.764492,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-11 16:36:56.765993,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-11 16:36:56.768021,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-11 16:36:58.090952,Ferris Wheel Interface,INFO,NEW ERROR IN!!!!!!!!!!!!!!!
2022-01-11 16:36:58.097084,Ferris Wheel Interface,INFO,New pid err 20.0 error camera is 20.0 d_angle is 0.0
2022-01-11 16:36:59.619677,user,INFO,PUT BREAD IN
2022-01-11 16:36:59.621140,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-11 16:36:59.622914,USER INTERFACE,INFO,CHOOSING BREAD
